Epoch 01 | Loss(avg): 0.3892 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 46.6s
Epoch 02 | Loss(avg): 0.3879 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 45.1s
Epoch 03 | Loss(avg): 0.3849 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 45.2s
Epoch 04 | Loss(avg): 0.3816 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 45.1s
Epoch 05 | Loss(avg): 0.3806 | CER: 0.9640 | Exact: 0.0000 | ValSamples: 787 | Time: 44.9s
Epoch 06 | Loss(avg): 0.3804 | CER: 0.9586 | Exact: 0.0000 | ValSamples: 787 | Time: 44.7s
Epoch 07 | Loss(avg): 0.3790 | CER: 0.9571 | Exact: 0.0000 | ValSamples: 787 | Time: 44.9s
Epoch 08 | Loss(avg): 0.3788 | CER: 0.9582 | Exact: 0.0000 | ValSamples: 787 | Time: 45.1s
Epoch 01 | Loss(avg): 0.3838 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 45.7s
Epoch 02 | Loss(avg): 0.3807 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 44.8s
Epoch 03 | Loss(avg): 0.3792 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 45.1s
Epoch 04 | Loss(avg): 0.3767 | CER: 0.9742 | Exact: 0.0000 | ValSamples: 787 | Time: 45.2s
Epoch 05 | Loss(avg): 0.3761 | CER: 1.0000 | Exact: 0.0000 | ValSamples: 787 | Time: 45.6s
Epoch 06 | Loss(avg): 0.3765 | CER: 0.9573 | Exact: 0.0000 | ValSamples: 787 | Time: 45.5s
Epoch 07 | Loss(avg): 0.3744 | CER: 0.9601 | Exact: 0.0000 | ValSamples: 787 | Time: 45.7s
Epoch 08 | Loss(avg): 0.3307 | CER: 0.9042 | Exact: 0.0000 | ValSamples: 787 | Time: 45.7s
Epoch 09 | Loss(avg): 0.2039 | CER: 0.5309 | Exact: 0.0407 | ValSamples: 787 | Time: 48.3s
Epoch 10 | Loss(avg): 0.1402 | CER: 0.3703 | Exact: 0.1626 | ValSamples: 787 | Time: 47.6s
Epoch 11 | Loss(avg): 0.1127 | CER: 0.2886 | Exact: 0.2541 | ValSamples: 787 | Time: 48.2s
Epoch 12 | Loss(avg): 0.0973 | CER: 0.2470 | Exact: 0.3189 | ValSamples: 787 | Time: 46.6s
Epoch 13 | Loss(avg): 0.0889 | CER: 0.3453 | Exact: 0.1817 | ValSamples: 787 | Time: 46.5s
Epoch 14 | Loss(avg): 0.0784 | CER: 0.1986 | Exact: 0.4257 | ValSamples: 787 | Time: 46.5s
Epoch 15 | Loss(avg): 0.0723 | CER: 0.1948 | Exact: 0.4244 | ValSamples: 787 | Time: 46.0s
Epoch 16 | Loss(avg): 0.0660 | CER: 0.1783 | Exact: 0.4651 | ValSamples: 787 | Time: 45.8s
Epoch 17 | Loss(avg): 0.0598 | CER: 0.1692 | Exact: 0.4600 | ValSamples: 787 | Time: 45.6s
Epoch 18 | Loss(avg): 0.0546 | CER: 0.1756 | Exact: 0.4422 | ValSamples: 787 | Time: 45.7s
Epoch 19 | Loss(avg): 0.0568 | CER: 0.1583 | Exact: 0.5032 | ValSamples: 787 | Time: 45.4s
Epoch 20 | Loss(avg): 0.0555 | CER: 0.1634 | Exact: 0.4752 | ValSamples: 787 | Time: 46.0s
Epoch 21 | Loss(avg): 0.0494 | CER: 0.1651 | Exact: 0.5019 | ValSamples: 787 | Time: 45.0s
Epoch 22 | Loss(avg): 0.0461 | CER: 0.2916 | Exact: 0.1982 | ValSamples: 787 | Time: 44.8s
Epoch 23 | Loss(avg): 0.0422 | CER: 0.1391 | Exact: 0.5248 | ValSamples: 787 | Time: 45.2s
Epoch 24 | Loss(avg): 0.0355 | CER: 0.2451 | Exact: 0.2973 | ValSamples: 787 | Time: 45.2s
Epoch 25 | Loss(avg): 0.0342 | CER: 0.1474 | Exact: 0.5019 | ValSamples: 787 | Time: 45.7s
Epoch 26 | Loss(avg): 0.0351 | CER: 0.1259 | Exact: 0.5667 | ValSamples: 787 | Time: 46.8s
Epoch 27 | Loss(avg): 0.0340 | CER: 0.1301 | Exact: 0.5527 | ValSamples: 787 | Time: 46.0s
Epoch 28 | Loss(avg): 0.0343 | CER: 0.1288 | Exact: 0.5591 | ValSamples: 787 | Time: 45.3s
Epoch 29 | Loss(avg): 0.0337 | CER: 0.2099 | Exact: 0.3799 | ValSamples: 787 | Time: 45.2s
Epoch 30 | Loss(avg): 0.0296 | CER: 0.1224 | Exact: 0.5731 | ValSamples: 787 | Time: 45.0s
Epoch 31 | Loss(avg): 0.0273 | CER: 0.1160 | Exact: 0.5731 | ValSamples: 787 | Time: 45.5s
Epoch 32 | Loss(avg): 0.0274 | CER: 0.1278 | Exact: 0.5565 | ValSamples: 787 | Time: 45.7s
Epoch 33 | Loss(avg): 0.0274 | CER: 0.1192 | Exact: 0.5718 | ValSamples: 787 | Time: 46.3s
Epoch 34 | Loss(avg): 0.0255 | CER: 0.1207 | Exact: 0.5769 | ValSamples: 787 | Time: 45.6s
Epoch 35 | Loss(avg): 0.0248 | CER: 0.1169 | Exact: 0.5756 | ValSamples: 787 | Time: 46.1s
Epoch 36 | Loss(avg): 0.0241 | CER: 0.1190 | Exact: 0.5743 | ValSamples: 787 | Time: 45.6s
Epoch 37 | Loss(avg): 0.0200 | CER: 0.1197 | Exact: 0.5781 | ValSamples: 787 | Time: 46.9s
Epoch 38 | Loss(avg): 0.0256 | CER: 0.1209 | Exact: 0.5756 | ValSamples: 787 | Time: 46.8s
Epoch 39 | Loss(avg): 0.0204 | CER: 0.1156 | Exact: 0.5781 | ValSamples: 787 | Time: 46.7s
Epoch 40 | Loss(avg): 0.0209 | CER: 0.1163 | Exact: 0.5794 | ValSamples: 787 | Time: 46.1s
Epoch 41 | Loss(avg): 0.0224 | CER: 0.1154 | Exact: 0.5769 | ValSamples: 787 | Time: 46.4s
Epoch 42 | Loss(avg): 0.0236 | CER: 0.1158 | Exact: 0.5731 | ValSamples: 787 | Time: 45.7s
Epoch 43 | Loss(avg): 0.0220 | CER: 0.1139 | Exact: 0.5896 | ValSamples: 787 | Time: 50.2s
Epoch 44 | Loss(avg): 0.0211 | CER: 0.1143 | Exact: 0.5807 | ValSamples: 787 | Time: 49.5s
Epoch 45 | Loss(avg): 0.0194 | CER: 0.1143 | Exact: 0.5794 | ValSamples: 787 | Time: 51.9s
Epoch 46 | Loss(avg): 0.0200 | CER: 0.1139 | Exact: 0.5909 | ValSamples: 787 | Time: 48.1s
Epoch 47 | Loss(avg): 0.0213 | CER: 0.1133 | Exact: 0.5832 | ValSamples: 787 | Time: 46.7s
Epoch 48 | Loss(avg): 0.0210 | CER: 0.1156 | Exact: 0.5845 | ValSamples: 787 | Time: 48.5s
